종목명,종목코드,현재가,시가총액,패턴상태,어깨대칭성,넥라인가격,목표가,손절가,예상수익률,신뢰도점수,일평균거래대금,패턴기간,머리깊이,시간대칭성,왼쪽어깨idx,머리idx,오른쪽어깨idx,왼쪽어깨가격,머리가격,오른쪽어깨가격
토모큐브,475960,55200,738756724800,넥라인근접,96.9,59150,81150,37150,47.0,82.0,10602861465,79,12.6,88.1,159,196,238,43150,37150,41850
한전기술,052690,146200,5587764000000,돌파임박,96.2,68950,88100,49800,-39.7,81.9,131365980840,62,16.9,72.2,21,47,83,61100,49800,58800
코오롱,002020,62600,808020768000,돌파임박,97.0,57250,79200,35300,26.5,81.9,6070378670,78,16.6,66.0,105,136,183,41700,35300,42950
SK바이오팜,326030,108500,8496987625000,돌파임박,97.1,112800,136600,89000,25.9,81.0,29450301365,147,12.9,75.0,26,89,173,103700,89000,100700
해성디에스,195870,61900,1052300000000,돌파임박,96.8,27575,37300,17850,-39.7,80.7,21078326495,89,17.7,50.8,47,77,136,21350,17850,22050
유니드,014830,80000,541408000000,돌파임박,93.5,82300,101500,63100,26.9,80.5,4324089710,105,15.9,90.9,145,200,250,72600,63100,77500
E1,017940,97900,671594000000,돌파임박,94.9,86500,102000,71000,4.2,80.3,2018712035,86,11.6,95.5,125,169,211,78300,71000,82400
한국피아이엠,448900,62200,373477225400,돌파임박,92.6,16320,20840,11800,-66.5,80.2,24990459340,68,16.4,94.3,90,125,158,14640,11800,13590
제주반도체,080220,42200,1453487552600,돌파임박,96.3,17830,23450,12210,-44.4,80.1,152635503257,110,10.5,86.4,26,77,136,13890,12210,13380
HD건설기계,267270,124700,5982372514600,돌파임박,95.0,77850,99800,55900,-20.0,80.0,76356250070,64,16.1,68.4,21,47,85,65000,55900,68300
피에스케이홀딩스,031980,69200,1492117734000,돌파임박,91.4,51425,72650,30200,5.0,79.8,26689301110,190,22.2,72.7,26,136,216,37150,30200,40500
사피엔반도체,452430,36550,300369581300,돌파임박,96.0,36000,48000,24000,31.3,79.6,3354000775,63,17.2,50.0,175,196,238,28400,24000,29550
자람테크놀로지,389020,42250,261854092500,넥라인근접,94.1,46400,62500,30300,47.9,79.6,4261106432,86,17.2,68.6,164,199,250,35500,30300,37650
